time,roll,pitch,yaw
1774267004.3125463,-0.08211823257227319,-0.06112028736118587,-0.0008960000000001098
1774267004.3292987,-0.08465916800796633,-0.0664325030951642,-0.0007486666666667793
1774267004.3457422,-0.08447039295124485,-0.06646850276131748,-0.0004013333333334487
1774267004.3616023,-0.08693827851868013,-0.06395079082792719,-0.00030666666666678805
1774267004.3774707,-0.08684637005588555,-0.06418040832356146,-0.0006593333333334581
1774267004.393704,-0.0866616218216319,-0.0614805455920512,-0.0008120000000001279
1774267004.4104187,-0.0866616218216319,-0.0614805455920512,-0.0008120000000001279
1774267004.4262443,-0.08167342104763001,-0.06196613697713411,-0.0011173333333334677
1774267004.4421406,-0.08167342104763001,-0.06196613697713411,-0.0011173333333334677
1774267004.459222,-0.07630534596441708,-0.0618816436007576,-0.0011700000000001375
1774267004.4757357,-0.07901728335950697,-0.06208921415607772,-0.0015226666666668075
1774267004.492482,-0.07858031359968967,-0.06160026785174193,-0.0016280000000001471
1774267004.5086215,-0.08093956629193423,-0.06166506625176729,-0.0012806666666668166
1774267004.525847,-0.08084605293909608,-0.05962621237759226,-0.001133333333333486
1774267004.5416658,-0.08898842216786544,-0.05996324663845465,-0.0012386666666668255
1774267004.5574133,-0.0865360143681333,-0.059687439008005154,-0.0007913333333334948
1774267004.5739577,-0.08172795632894522,-0.05985450002335571,-0.0011440000000001649
1774267004.5909338,-0.08182833459381651,-0.06741582230195181,-0.0009966666666668344
1774267004.6068387,-0.08195119257227293,-0.06290876736118534,-0.0015020000000001742
1774267004.6247227,-0.08468646473213835,-0.06577098013136604,-0.001654666666666844
1774267004.6416774,-0.0868508951551069,-0.06825164857990393,-0.002007333333333514
1774267004.6576827,-0.08450364800796603,-0.06806674309516361,-0.0016600000000001835
1774267004.6738043,-0.07941647439775174,-0.0686542695131413,-0.0016653333333335229
1774267004.690076,-0.08159497691121588,-0.07113189065511391,-0.001018000000000192
1774267004.7063951,-0.07913200406414839,-0.06885330951626746,-0.000370666666666861
1774267004.7226584,-0.0815137912865073,-0.061244770720109365,-0.00022333333333353058
1774267004.7385983,-0.08133885070051995,-0.06151401463228584,7.133333333313028e-05
1774267004.7545028,-0.0762683871935118,-0.06426131003402989,0.0002186666666664607
1774267004.7703674,-0.08154605922112315,-0.06432411986785258,0.00016599999999979096
1774267004.7862642,-0.08154605922112315,-0.06432411986785258,0.00016599999999979096
1774267004.8018768,-0.08154605922112315,-0.06432411986785258,0.00016599999999979096
1774267004.8188853,-0.08467295445402696,-0.06243952027549719,0.006307999999999782
1774267004.8365688,-0.08703635670402156,-0.059175683881018834,0.005855333333333112
1774267004.8524294,-0.08231940008097298,-0.07200333043731116,0.005702666666666442
1774267004.8684845,-0.08233041745540773,-0.06671780696124256,0.005697333333333102
1774267004.8845575,-0.0875355267814837,-0.06368880175828298,0.005544666666666432
1774267004.9009962,-0.08206867128650715,-0.06134621072010903,0.005591999999999763
1774267004.9179237,-0.08725644129190084,-0.06678914163060917,0.0059393333333330935
1774267004.9339294,-0.08433987490510643,-0.07188163867262545,0.005933999999999755
1774267004.9504313,-0.0845364179878538,-0.06488942237928265,0.006181333333333085
1774267004.9663475,-0.08473400977743976,-0.062559961061675,0.0058286666666664145
1774267004.9821172,-0.07954750223580272,-0.06531542552788014,0.0059759999999997445
1774267004.9991803,-0.08239625463825533,-0.07086397478435004,0.005770666666666405
1774267005.016852,-0.08484384909835929,-0.07370640654285139,0.005917999999999735
1774267005.033154,-0.08456892800796569,-0.07166738309516289,0.005565333333333065
1774267005.0502138,-0.07985776406414806,-0.0725121895162668,0.0050599999999997244
1774267005.0672505,-0.08261396825780552,-0.06996256905058211,0.005007333333333055
1774267005.084741,-0.08525898443185173,-0.07541270845116413,0.005354666666666385
1774267005.1040938,-0.08575753798785367,-0.06847598237928235,0.005549333333333046
1774267005.1192787,-0.0859535580243774,-0.07653360501672209,0.0054966666666663765
1774267005.1354194,-0.08096669555267792,-0.0718688503061751,0.005343999999999707
1774267005.1512673,-0.08096669555267792,-0.0718688503061751,0.005343999999999707
1774267005.1681745,-0.0835371125722724,-0.06859772736118426,0.005485999999999697
1774267005.1855931,-0.08107561623054181,-0.06393270956614477,0.005633333333333027
1774267005.201289,-0.08618922713998073,-0.06656989615825568,0.005780666666666357
1774267005.2172365,-0.09185684525885418,-0.0717472703532743,0.005727999999999687
1774267005.2343786,-0.08735113798785353,-0.0689527823792821,0.005722666666666348
1774267005.2504792,-0.08763798580290241,-0.07418272723274093,0.005669999999999679
1774267005.267894,-0.08547645635206358,-0.06911203569208983,0.00621733333333301
1774267005.2837973,-0.09059148129190048,-0.07151266163060845,0.006911999999999671
1774267005.3000176,-0.08795593798785348,-0.06899918237928197,0.007259333333333002
1774267005.317051,-0.08805102749515067,-0.07135603169282388,0.007406666666666332
1774267005.3335366,-0.09022314660815771,-0.07352556726147237,0.007853999999999662
1774267005.3496883,-0.08534781070051939,-0.06574249463228467,0.007948666666666323
1774267005.3661985,-0.09043855093089642,-0.06574885802786565,0.008095999999999654
1774267005.3831887,-0.09082860780652516,-0.06588924529102937,0.007743333333332983
1774267005.4006512,-0.09074383093089639,-0.06575749802786557,0.007537999999999643
1774267005.4171622,-0.08585013565314148,-0.07351515162583547,0.007385333333332973
1774267005.4331675,-0.08650914900059513,-0.07100022389255577,0.007232666666666303
1774267005.4501438,-0.09181170490814267,-0.07352088885761274,0.0070799999999996335
1774267005.4679563,-0.09181170490814267,-0.07352088885761274,0.0070799999999996335
1774267005.484133,-0.08881194713998046,-0.06544925615825511,0.008221999999999625
1774267005.5010858,-0.08871735923774056,-0.07069890635444935,0.008569333333332957
1774267005.5179038,-0.09155945856943046,-0.07114678573191002,0.008563999999999619
1774267005.534048,-0.08372687439775094,-0.07396146951313964,0.008611333333332949
1774267005.5513468,-0.08128239052719805,-0.07109743561589513,0.00875866666666628
1774267005.567551,-0.0865745745938156,-0.07342094230194991,0.008205999999999611
1774267005.5832975,-0.08668654104762893,-0.0677846969771319,0.007700666666666272
1774267005.6007645,-0.08905143923774045,-0.06988994635444915,0.007847999999999602
1774267005.6174226,-0.0869022969713151,-0.07262951234737636,0.007195333333332932
1774267005.6335268,-0.08954022473213742,-0.0705658601313641,0.006942666666666262
1774267005.6497116,-0.08936197778397925,-0.06834547882392758,0.0066373333333329225
1774267005.6665592,-0.08663599257227193,-0.0682591673611833,0.006684666666666253
1774267005.6825836,-0.08428061555267741,-0.07035781030617402,0.007131999999999584
1774267005.6987112,-0.08967503376954193,-0.06511895199213474,0.0077793333333329145
1774267005.7147992,-0.08891422030740362,-0.07062185018411352,0.007673999999999575
1774267005.7307642,-0.08871743295124357,-0.07361602276131482,0.007621333333332906
1774267005.7469335,-0.08844229778397916,-0.0684296388239274,0.007868666666666236
1774267005.7628021,-0.08863122923816971,-0.06873516826625549,0.007915999999999566
1774267005.7788095,-0.09099196068827092,-0.07693881102256019,0.008263333333332897
1774267005.7947907,-0.08677652825780484,-0.07121184905058069,0.007757999999999558
1774267005.810755,-0.08669164073449638,-0.07112042969820377,0.008005333333332889
1774267005.8272328,-0.08679113463825455,-0.07334941478434845,0.00795266666666622
1774267005.8430386,-0.0893501447321372,-0.07035882013136366,0.00774733333333288
1774267005.860361,-0.08992930616810642,-0.06790261817695638,0.0073946666666662095
1774267005.8763363,-0.09229059751147607,-0.07014011555970381,0.00694199999999954
1774267005.8923693,-0.09445187311590207,-0.07313158456177553,0.00728933333333287
1774267005.9082046,-0.08928294473213715,-0.07107722013136353,0.007083999999999531
1774267005.9256027,-0.09192760319606398,-0.0743287909174653,0.00673133333333286
1774267005.9423943,-0.09222004549870262,-0.07688858179577918,0.0065786666666661905
1774267005.9582613,-0.09429954115660928,-0.06897867513881456,0.006925999999999521
1774267005.975232,-0.0894028981682326,-0.07105634233938843,0.006820666666666181
1774267005.9930985,-0.08402878223580175,-0.06813206552787815,0.006667999999999511
1774267006.0100873,-0.08129597052679732,-0.06593956784409473,0.0066153333333328415
1774267006.0262477,-0.08865793816823256,-0.07151586233938832,0.006709999999999502
1774267006.043503,-0.08838442685333961,-0.0637770119588018,0.0070573333333328325
1774267006.060477,-0.08877215445402578,-0.06620112027549477,0.007204666666666163
1774267006.0762231,-0.0891488380102572,-0.0741111325259674,0.007751999999999494
1774267006.0927703,-0.08878505747861024,-0.07121183197296335,0.008046666666666156
1774267006.1096745,-0.08605698390913097,-0.06392136154990924,0.007693999999999485
1774267006.1262467,-0.08813418713997984,-0.06632637615825386,0.007841333333332815
1774267006.1420264,-0.08833770713997982,-0.06598013615825381,0.007935999999999476
1774267006.1718233,-0.0836333001011287,-0.07381345438416698,0.007430666666666136
1774267006.1757936,-0.0836333001011287,-0.07381345438416698,0.007430666666666136
1774267006.191591,-0.0863654163520627,-0.06838851569208801,0.007777999999999467
1774267006.2061443,-0.08392096721703549,-0.06635339660412892,0.00897266666666613
1774267006.2227004,-0.08696769388949381,-0.06380921341998444,0.00891999999999946
1774267006.238368,-0.0866865410476283,-0.06853669697713059,0.00906733333333279
1774267006.2540455,-0.08669230104762829,-0.06850757697713056,0.008914666666666122
1774267006.2705657,-0.09141353856942973,-0.07118582573190851,0.008209333333332782
1774267006.2863557,-0.08595381697131445,-0.07322727234737501,0.008156666666666113
1774267006.3028657,-0.0933959321537571,-0.06842098658067355,0.008203999999999443
1774267006.3195243,-0.0900887303929251,-0.06823882119610215,0.007951333333332773
1774267006.3350585,-0.08509041459381486,-0.07410286230194837,0.007898666666666103
1774267006.351934,-0.08697791295124295,-0.07461826276131356,0.007493333333332763
1774267006.3693194,-0.0872765447321367,-0.07140202013136261,0.007840666666666093
1774267006.3861923,-0.09002153039292504,-0.06876522119610202,0.007987999999999424
1774267006.4029627,-0.08513476629193242,-0.06934666625176356,0.008182666666666087
1774267006.4203317,-0.0879712979878524,-0.06985486237927974,0.008529999999999418
1774267006.4371614,-0.08561133618994693,-0.07556717465979551,0.008777333333332749
1774267006.4540756,-0.09063218182162995,-0.07047382559204718,0.00887199999999941
1774267006.4698021,-0.08545363128650565,-0.06809469072010592,0.00851933333333274
1774267006.4856472,-0.08263867590711327,-0.07284417097137055,0.00846666666666607
1774267006.5013847,-0.08819785798785233,-0.07054414237927958,0.008713999999999401
1774267006.5171714,-0.09103773005588356,-0.07312408832355732,0.008661333333332731
1774267006.5344925,-0.09633478493786321,-0.06802626676970773,0.008508666666666062
1774267006.5505927,-0.09360100672420615,-0.06771138744769747,0.008055999999999392
1774267006.5662487,-0.090863039843906,-0.07711055245680358,0.009450666666666052
1774267006.584332,-0.09117008678148207,-0.0694740817582796,0.009545333333332713
1774267006.5993967,-0.09155260068827012,-0.07747513102255851,0.009892666666666045
1774267006.6156795,-0.09127594008178026,-0.07251866096031918,0.009539999999999375
1774267006.6313252,-0.08420041588434193,-0.07806839125073636,0.009487333333332706
1774267006.6485386,-0.08376507371409742,-0.06676847061783778,0.009781999999999366
1774267006.664697,-0.08638929745540601,-0.071339246961239,0.009929333333332697
1774267006.68039,-0.08585932487491961,-0.07087595527019572,0.009876666666666027
1774267006.697469,-0.08848757813333936,-0.06881427722847483,0.009823999999999358
1774267006.7133644,-0.09209168678148195,-0.06956688175827935,0.009318666666666019
1774267006.7308524,-0.08974367445402513,-0.06747088027549342,0.00896599999999935
1774267006.7470553,-0.09209898660815635,-0.07524748726146956,0.00871333333333268
1774267006.7637813,-0.09133827751147522,-0.07267195555970205,0.00866066666666601
1774267006.7796166,-0.07799454723243245,-0.07124299310941813,0.008855333333332672
1774267006.7957106,-0.08277043974754764,-0.07043180204118006,0.008902666666666002
1774267006.8115697,-0.08786219516315945,-0.06373358372826826,0.009349999999999333
1774267006.8272495,-0.09022219318335141,-0.06925956590389018,0.009997333333332664
1774267006.843922,-0.09473434889578769,-0.07409528795702428,0.009991999999999324
1774267006.8606691,-0.08493969745540583,-0.07455044696123862,0.009639333333332655
1774267006.876412,-0.08730889798785198,-0.07152366237927885,0.009086666666665986
1774267006.8922074,-0.08495339750984704,-0.07194029997675974,0.008733999999999317
1774267006.9089515,-0.08477588825780377,-0.07456352905057845,0.008328666666665978
1774267006.9247,-0.08440855421516975,-0.0741219484437831,0.008075999999999308
1774267006.940346,-0.0815753355526762,-0.07377317030617152,0.008223333333332639
1774267006.957372,-0.08950956780652365,-0.06879772529102623,0.008470666666665969
1774267006.9743898,-0.08677926473213612,-0.0738733801313614,0.008465333333332629
1774267006.9913793,-0.08452155632894293,-0.06877130002335094,0.00841266666666596
1774267007.0081115,-0.09187737274060125,-0.0713380042371641,0.00815999999999929
1774267007.024909,-0.09187737274060125,-0.0713380042371641,0.00815999999999929
1774267007.0418332,-0.08690842713868263,-0.06940336544717106,0.008801999999999281
1774267007.057417,-0.08728450725689146,-0.07701645699253759,0.009149333333332612
1774267007.0740674,-0.08521845101799716,-0.06919049496352622,0.009396666666665943
1774267007.090747,-0.08778390580290066,-0.07676768723273728,0.009491333333332604
1774267007.1062825,-0.08532059756781557,-0.07664962561856034,0.009738666666665934
1774267007.1229386,-0.08741862473213599,-0.07384106013136112,0.009885999999999265
1774267007.1400905,-0.08468932629193174,-0.07107594625176213,0.009833333333332596
1774267007.1557343,-0.08743631028218485,-0.07681072775331171,0.009727999999999256
1774267007.1718163,-0.08772479295124218,-0.07719970276131195,0.009675333333332587
1774267007.188068,-0.09018473856942887,-0.07452342573190672,0.010222666666665917
1774267007.2047668,-0.0903830100558829,-0.07494072832355597,0.010569999999999248
1774267007.220472,-0.0848332507005176,-0.06990121463228097,0.01046466666666591
1774267007.2366028,-0.08464279421516946,-0.07467106844378249,0.01041199999999924
1774267007.2528944,-0.08445655421516944,-0.07454594844378247,0.01015933333333257
1774267007.2700763,-0.08955180780652335,-0.06963484529102563,0.0103066666666659
1774267007.2858534,-0.08739908897230643,-0.06756341731174367,0.011001333333332563
1774267007.3017926,-0.08693034713997871,-0.0703004561582515,0.011248666666665894
1774267007.3176427,-0.08466555632894263,-0.07034730002335031,0.011095999999999225
1774267007.33352,-0.0846713163289426,-0.06993418002335029,0.011443333333332556
1774267007.3492768,-0.08949411075652149,-0.0649771892225334,0.011590666666665887
1774267007.3664005,-0.08997712651948737,-0.07488930706127994,0.011385333333332548
1774267007.3821695,-0.08997712651948737,-0.07488930706127994,0.011385333333332548
1774267007.3987968,-0.08536427750984657,-0.07323373997675878,0.011332666666665879
1774267007.414441,-0.08499476825780329,-0.07518496905057748,0.01092733333333254
1774267007.4301834,-0.08405164073449482,-0.07496842969820054,0.0113219999999992
1774267007.447016,-0.08132834867676453,-0.07497532180289476,0.011469333333332532
1774267007.4635758,-0.08378493070051737,-0.0694730546322805,0.011816666666665863
1774267007.4792135,-0.08377865463825297,-0.07742717478434516,0.011463999999999194
1774267007.4957633,-0.08878697856942856,-0.07612854573190611,0.011258666666665855
1774267007.7078686,-0.08290686009975354,-0.08228283234118473,0.010215999999999142
1774267007.7096822,-0.08290686009975354,-0.08228283234118473,0.010215999999999142
1774267007.7254639,-0.08311918104762689,-0.07721701697712767,0.010663333333332473
1774267007.742362,-0.0888951678065229,-0.07453852529102471,0.011410666666665802
1774267007.759089,-0.08870988129189812,-0.07884386163060356,0.012105333333332465
1774267007.7758715,-0.08607433798785111,-0.07613838237927709,0.012252666666665796
1774267007.791744,-0.08872169856942828,-0.07884790573190555,0.011999999999999126
1774267007.807334,-0.08883204598448749,-0.07687639013391707,0.011294666666665785
1774267007.8241222,-0.08111138867676417,-0.07969884180289402,0.011441999999999116
1774267007.8417807,-0.08327236629193106,-0.07708746625176074,0.011689333333332446
1774267007.8574305,-0.0853519048652261,-0.07735174707158937,0.011683999999999107
1774267007.8742049,-0.08526580603846734,-0.071851599869878,0.011731333333332436
1774267007.8909626,-0.08516869778397711,-0.07735283882392316,0.012078666666665768
1774267007.907145,-0.08752434490814032,-0.08260920885760789,0.012125999999999098
1774267007.9230633,-0.08677106182162855,-0.0777432655920443,0.011720666666665758
1774267007.9391549,-0.08639273039292357,-0.07784682119609895,0.011267999999999088
1774267007.9561925,-0.08366808725614865,-0.08014333116427046,0.011515333333332418
1774267007.972916,-0.083669984865226,-0.07759878707158918,0.011162666666665749
1774267007.988882,-0.08170948629193092,-0.07817802625176044,0.01095733333333241
1774267008.0050886,-0.08444545816823067,-0.08120162233938442,0.011604666666665741
1774267008.0219746,-0.07964523718150394,-0.08159451693966271,0.011951999999999073
1774267008.0376868,-0.08230483128650416,-0.07669629072010285,0.011899333333332403
1774267008.053656,-0.08562274616810432,-0.07997333817695204,0.011893999999999065
1774267008.0699403,-0.08006255359968627,-0.0799253878517349,0.011841333333332395
1774267008.085711,-0.08741541646624298,-0.08281512986754329,0.011788666666665726
1774267008.1020615,-0.08496577816823059,-0.08262978233938424,0.011535999999999056
1774267008.1178122,-0.08224687257226959,-0.08025660736117847,0.011483333333332386
1774267008.1335242,-0.08224687257226959,-0.08025660736117847,0.011483333333332386
1774267008.1499069,-0.08323584557390905,-0.08024296333615963,0.011225333333332378
1774267008.1656585,-0.0864370880079627,-0.08586546309515672,0.011472666666665708
1774267008.1814046,-0.08625084800796268,-0.0856443430951567,0.011219999999999038
1774267008.1983573,-0.08645711028218385,-0.08504112775330967,0.0107146666666657
1774267008.215018,-0.08429361459381306,-0.08476046230194467,0.01046199999999903
1774267008.2315793,-0.08892382236478372,-0.07438104363163425,0.01040933333333236
1774267008.247977,-0.08421716825780248,-0.08183616905057584,0.01000399999999902
1774267008.2638104,-0.0838540507005166,-0.07669161463227891,0.009951333333332351
1774267008.279724,-0.08215456630559187,-0.07986655550924476,0.009898666666665681
1774267008.2954292,-0.08726015295124111,-0.08506338276130976,0.010245999999999013
1774267008.3120792,-0.0924629990573863,-0.0849042067974257,0.011240666666665676
1774267008.3286173,-0.08728798030740112,-0.08224073018410835,0.011087999999999007
