timestamp,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,kinect_x,kinect_y,kinect_z
1772865465.291128890,pygame 2.6.1 (SDL 2.28.4, Python 3.13.7),406 380 689
1772865465.308808856,Hello from the pygame community. https://www.pygame.org/contribute.html,406 380 689
1772865500.244271761,0 0 0.34830708661417364,346 308 704
1772865500.271192484,0 0 0.34830708661417364,346 308 704
1772865500.287319081,0 0 0.34830708661417364,346 308 704
1772865500.301713747,0 0 0.34830708661417364,346 308 704
1772865500.350526981,0 0 0.34830708661417364,330 310 680
1772865500.362494501,0 0 0.34830708661417364,325 312 675
1772865500.472240038,0 0 -5.981692913385826,270 344 676
1772865500.672154312,0 0 -5.981692913385826,255 355 658
1772865500.819506096,0 0 -5.981692913385826,254 350 651
1772865501.142677499,0 0 -5.981692913385826,271 362 642
1772865501.204214404,0 0 -5.981692913385826,281 355 644
1772865501.521673449,0 0 -5.981692913385826,311 324 667
1772865501.550629260,0 0 -5.981692913385826,312 321 670
1772865501.572406948,0 0 -5.981692913385826,312 321 670
1772865501.911812767,0 0 -5.981692913385826,290 320 732
1772865501.977461758,0 0 -5.981692913385826,291 323 737
1772865502.015464164,0 0 -5.981692913385826,292 323 740
1772865502.090829797,0 0 0.048307086614173614,303 324 737
1772865502.180642102,0 0 0.5883070866141736,332 322 707
1772865502.223649740,0 0 0.5883070866141736,347 316 716
1772865502.272545004,0 0 0.3683070866141736,363 309 719
1772865502.614366665,0 0 0.4183070866141736,367 308 716
1772865502.809242762,0 0 0.4183070866141736,370 307 720
1772865502.819247845,0 0 0.4183070866141736,370 307 720
1772865502.823326435,0 0 0.4183070866141736,370 307 720
1772865502.859127837,0 0 0.4983070866141736,373 304 720
1772865502.888898477,0 0 0.4983070866141736,376 302 719
1772865502.953101922,0 0 0.5483070866141736,380 302 717
1772865503.210819165,0 0 0.5483070866141736,390 312 705
1772865503.214041870,0 0 0.5983070866141736,390 312 705
1772865503.253303684,0 0 0.5983070866141736,391 309 710
1772865503.301376188,0 0 0.6683070866141736,391 308 713
1772865503.333780399,0 0 0.6683070866141736,390 312 710
1772865503.392193483,0 0 0.7283070866141736,392 311 710
1772865503.992924736,0 0 0.7283070866141736,396 308 719
1772865504.058000513,0 0 0.7983070866141736,398 312 708
1772865504.456400063,0 0 0.7983070866141736,396 311 708
1772865504.694308568,0 0 0.8583070866141737,393 314 708
1772865504.806232678,0 0 0.8583070866141737,399 314 707
1772865505.034028407,0 0 0.9283070866141736,405 309 708
1772865505.093738645,0 0 0.9283070866141736,405 311 708
1772865505.418234603,0 0 1.0283070866141737,406 305 713
1772865505.441470801,0 0 1.0283070866141737,406 305 713
1772865505.445171847,0 0 1.0483070866141737,406 305 713
1772865505.452711864,0 0 1.0483070866141737,406 305 713
1772865506.092749076,0 0 1.1283070866141736,402 295 713
1772865506.156789752,0 0 1.1283070866141736,405 298 703
1772865506.173524801,0 0 1.1783070866141736,403 298 703
1772865506.423187204,0 0 1.1783070866141736,406 299 701
1772865506.782849768,0 0 1.2183070866141736,408 300 695
1772865506.826122845,0 0 1.2183070866141736,408 300 695
1772865506.842820737,0 0 1.2183070866141736,408 300 695
1772865506.926283453,0 0 1.2183070866141736,411 298 693
1772865506.978400276,0 0 1.2183070866141736,411 297 695
1772865507.189265172,0 0 1.2183070866141736,405 295 705
1772865507.492393881,0 0 1.2183070866141736,389 293 710
1772865507.598007924,0 0 1.2183070866141736,388 291 707
1772865507.818532352,0 0 1.2183070866141736,386 294 705
1772865507.876751905,0 0 1.2183070866141736,386 294 705
1772865507.941945557,0 0 1.2183070866141736,380 300 700
1772865508.137633318,0 0 1.2183070866141736,371 302 707
1772865508.149980888,0 0 1.2383070866141737,371 302 707
1772865508.155121709,0 0 1.2383070866141737,371 302 707
1772865508.510156949,0 0 1.2383070866141737,346 315 716
1772865508.657209965,0 0 1.2383070866141737,347 315 717
1772865508.994391567,0 0 1.2383070866141737,355 313 704
1772865509.223829227,0 0 1.2383070866141737,354 315 705
1772865509.227649402,0 0 1.1583070866141736,354 315 705
